maxColorValue;uniqueColorCount;withSameNodes;withoutSameNodes
25;26;88;362
25;26;88;362
25;26;88;362
25;26;88;362
25;26;88;362
25;26;88;362
25;26;88;362
25;26;88;362
25;26;88;362
25;26;88;362
25;26;88;362
25;26;88;362
25;26;87;363
25;26;87;363
25;26;87;363
25;26;87;363
25;26;87;363
25;26;87;363
25;26;87;363
25;26;87;363
25;26;87;363
25;26;87;363
25;26;87;363
25;26;87;363
25;26;87;363
25;26;87;363
25;26;87;363
25;26;87;363
25;26;87;363
25;26;87;363
25;26;87;363
25;26;87;363
25;26;87;363
25;26;87;363
25;26;87;363
25;26;87;363
25;26;87;363
25;26;86;364
25;26;86;364
25;26;86;364
25;26;86;364
25;26;85;365
25;26;85;365
25;26;85;365
25;26;85;365
25;26;85;365
25;26;85;365
25;26;85;365
25;26;84;366
25;26;84;366
25;26;84;366
25;26;84;366
25;26;84;366
25;26;84;366
26;27;83;367
26;27;83;367
26;27;83;367
26;27;82;368
26;27;81;369
26;27;80;370
26;27;80;370
26;27;79;371
26;27;79;371
26;27;78;372
26;27;78;372
26;27;78;372
26;27;78;372
26;27;78;372
26;27;78;372
26;27;78;372
26;27;78;372
27;28;77;373
27;28;77;373
27;28;77;373
27;28;77;373
27;28;77;373
27;28;76;374
27;28;76;374
27;28;75;375
27;28;75;375
27;28;75;375
27;28;75;375
27;28;75;375
28;29;74;376
28;29;74;376
28;29;74;376
28;29;74;376
28;29;74;376
28;29;74;376
28;29;74;376
28;29;74;376
28;29;74;376
28;29;74;376
28;29;74;376
28;29;74;376
28;29;74;376
28;29;74;376
28;29;74;376
28;29;73;377
28;29;73;377
28;29;73;377
28;29;73;377
28;29;72;378
28;29;71;379
28;29;70;380
28;29;70;380
28;29;69;381
28;29;68;382
28;29;68;382
28;29;68;382
28;29;68;382
28;29;68;382
28;29;68;382
28;29;68;382
28;29;67;383
28;29;67;383
28;29;67;383
28;29;67;383
28;29;67;383
28;29;67;383
28;29;67;383
28;29;67;383
28;29;67;383
28;29;67;383
28;29;67;383
28;29;67;383
28;29;67;383
28;29;67;383
28;29;67;383
28;29;66;384
28;29;66;384
28;29;66;384
28;29;66;384
28;29;66;384
28;29;66;384
28;29;66;384
28;29;66;384
28;29;66;384
28;29;65;385
28;29;65;385
28;29;65;385
28;29;65;385
28;29;65;385
28;29;65;385
28;29;65;385
28;29;65;385
28;29;65;385
28;29;65;385
28;29;65;385
28;29;64;386
28;29;64;386
28;29;64;386
28;29;64;386
28;29;63;387
28;29;63;387
28;29;63;387
28;29;63;387
28;29;63;387
28;29;63;387
28;29;62;388
28;29;62;388
28;29;62;388
28;29;62;388
28;29;62;388
28;29;61;389
28;29;61;389
28;29;61;389
28;29;60;390
28;29;60;390
28;29;60;390
28;29;60;390
28;29;60;390
28;29;60;390
28;29;60;390
28;29;60;390
28;29;60;390
28;29;60;390
28;29;59;391
28;29;59;391
28;29;59;391
28;29;59;391
28;29;59;391
28;29;58;392
28;29;58;392
28;29;58;392
28;29;58;392
28;29;58;392
28;29;58;392
28;29;58;392
28;29;58;392
28;29;57;393
28;29;57;393
28;29;56;394
28;29;56;394
28;29;56;394
28;29;56;394
28;29;56;394
28;29;56;394
28;29;56;394
28;29;56;394
28;29;56;394
28;29;56;394
28;29;56;394
28;29;56;394
28;29;56;394
28;29;56;394
28;29;56;394
28;29;56;394
28;29;56;394
28;29;56;394
28;29;56;394
28;29;56;394
28;29;56;394
28;29;56;394
28;29;56;394
28;29;56;394
28;29;56;394
28;29;56;394
28;29;56;394
28;29;55;395
28;29;55;395
28;29;55;395
28;29;55;395
28;29;55;395
28;29;55;395
28;29;55;395
28;29;55;395
28;29;55;395
28;29;55;395
28;29;55;395
28;29;55;395
28;29;55;395
28;29;55;395
28;29;55;395
28;29;55;395
28;29;55;395
28;29;54;396
28;29;54;396
28;29;54;396
28;29;54;396
28;29;54;396
28;29;54;396
28;29;54;396
28;29;54;396
28;29;54;396
28;29;53;397
28;29;53;397
28;29;53;397
28;29;53;397
28;29;52;398
28;29;52;398
28;29;52;398
28;29;52;398
28;29;52;398
28;29;52;398
28;29;52;398
28;29;52;398
28;29;52;398
28;29;51;399
28;29;51;399
28;29;51;399
28;29;51;399
28;29;51;399
28;29;51;399
28;29;50;400
28;29;50;400
28;29;50;400
28;29;50;400
28;29;50;400
28;29;50;400
28;29;50;400
28;29;50;400
28;29;50;400
28;29;50;400
28;29;50;400
28;29;50;400
28;29;50;400
28;29;50;400
28;29;50;400
28;29;50;400
28;29;50;400
28;29;50;400
28;29;50;400
28;29;50;400
28;29;50;400
28;29;50;400
28;29;50;400
28;29;50;400
28;29;50;400
28;29;50;400
28;29;49;401
28;29;49;401
28;29;49;401
28;29;49;401
28;29;49;401
28;29;49;401
28;29;49;401
28;29;49;401
28;29;49;401
28;29;49;401
28;29;49;401
28;29;49;401
28;29;49;401
28;29;49;401
28;29;49;401
28;29;49;401
28;29;49;401
28;29;49;401
28;29;49;401
28;29;49;401
28;29;49;401
28;29;48;402
28;29;48;402
28;29;47;403
28;29;47;403
28;29;47;403
28;29;46;404
28;29;46;404
28;29;46;404
28;29;46;404
28;29;46;404
28;29;46;404
28;29;46;404
28;29;46;404
28;29;45;405
